Yordan Alvarez,HOU,135,470,95,144,29,2,37,97,1,1,78,106,6,7,9,alvaryo01
Charlie Blackmon,COL,135,530,60,140,22,6,16,78,4,1,32,109,8,3,4,blackch02
Santiago Espinal,TOR,135,449,51,120,25,0,7,51,6,6,36,68,2,3,1,espinsa01
Nico Hoerner,CHC,135,481,60,135,22,5,10,55,20,2,28,57,6,2,4,hoernni01
Rougned Odor,BAL,135,426,49,88,19,3,13,53,6,1,32,109,10,4,1,odorro01
Luke Voit,TOT,135,500,55,113,22,0,22,69,1,1,55,179,7,6,1,voitlu01
Taylor Ward,LAA,135,495,73,139,22,2,23,65,5,3,60,120,4,5,0,wardta01
Brandon Marsh,TOT,134,424,49,104,18,4,11,52,10,4,28,158,3,3,1,marshbr02
Andrew McCutchen,MIL,134,515,66,122,25,0,17,69,8,6,57,124,4,4,1,mccutan01
Joc Pederson,SFG,134,380,57,104,19,3,23,70,3,2,42,100,7,4,3,pederjo01
David Peralta,TOT,134,439,39,110,30,3,12,59,1,3,41,114,4,6,5,peralda01
Andrew Vaughn,CHW,134,510,60,138,28,1,17,76,0,0,31,96,9,5,0,vaughan01
Patrick Wisdom,CHC,134,469,67,97,28,0,25,66,8,4,53,183,9,2,1,wisdopa01
Kolten Wong,MIL,134,430,65,108,24,4,15,47,17,6,46,88,14,5,2,wongko01
George Springer,TOR,133,513,89,137,22,4,25,76,14,2,54,100,7,5,1,springe01
Josh Donaldson,NYY,132,478,59,106,28,0,15,62,2,2,54,148,8,6,1,donaljo02
Victor Robles,WSN,132,366,42,82,10,2,6,33,15,4,17,104,9,4,0,roblevi01
Julio Rodriguez,SEA,132,511,84,145,25,3,28,75,25,7,40,145,8,1,4,rodriju01
Jackie Bradley Jr.,TOT,131,344,30,70,23,1,4,38,2,3,24,77,0,0,0,bradlja02
Teoscar Hernandez,TOR,131,499,71,133,35,1,25,77,6,3,34,152,2,0,0,hernate01
Carlos Santana,TOT,131,431,52,87,18,0,19,60,0,0,71,88,2,2,2,santaca01
Jonathan Schoop,DET,131,481,48,97,23,1,11,38,5,0,19,107,6,4,1,schoojo01
Aaron Hicks,NYY,130,384,54,83,9,2,8,40,10,3,62,109,4,2,3,hicksaa01
Owen Miller,CLE,130,424,53,103,26,1,6,51,2,0,32,93,7,9,1,milleow01
Anthony Rizzo,NYY,130,465,77,104,21,1,32,75,6,5,58,101,23,2,6,rizzoan01
Daniel Vogelbach,TOT,130,386,47,92,19,1,18,59,0,0,73,114,1,1,2,vogelda01
Jesus Aguilar,TOT,129,464,39,109,19,0,16,51,1,0,28,119,4,5,1,aguilje01
