name,team,league,games,at_bats,runs,hits,doubles,triples,home_runs,rbis,stolen,caught,walks,strikeout,hbp,sf,ibb,id
Robinson Canó*,SDP,NL,12,33,1,3,0,0,0,1,0,0,1,10,0,0,0,canoro01
Robinson Canó*,ATL,NL,9,26,1,4,1,0,0,0,0,0,1,4,0,0,0,canoro01
Conner Capel*,TOT,MLB,22,52,7,16,0,1,3,11,1,1,5,10,0,2,0,capelco01
Conner Capel*,STL,NL,9,17,1,3,0,0,1,2,0,0,1,2,0,1,0,capelco01
Conner Capel*,OAK,AL,13,35,6,13,0,1,2,9,1,1,4,8,0,1,0,capelco01
Vinny Capra,TOR,AL,8,5,2,1,0,0,0,0,0,0,2,1,0,0,0,capravi01
Victor Caratini#,MIL,NL,95,272,26,54,12,0,9,34,0,0,31,67,9,1,1,caratvi01
Dylan Carlson#,STL,NL,128,432,56,102,30,4,8,42,5,2,45,94,7,4,1,carlsdy01
Kerry Carpenter*,DET,AL,31,103,16,26,4,1,6,10,0,0,6,32,3,1,0,carpeke01
Matt Carpenter*,NYY,AL,47,128,28,39,9,0,15,37,0,0,19,35,5,1,1,carpema01
Corbin Carroll*,ARI,NL,32,104,13,27,9,2,4,14,2,1,8,31,3,0,0,carroco02
Curt Casali,TOT,MLB,57,148,20,30,4,0,5,17,0,0,24,50,2,2,0,casalcu01
Curt Casali,SFG,NL,41,108,13,25,3,0,4,14,0,0,15,36,1,2,0,casalcu01
Curt Casali,SEA,AL,16,40,7,5,1,0,1,3,0,0,9,14,1,0,0,casalcu01
Triston Casas*,BOS,AL,27,76,11,15,1,0,5,12,1,0,19,23,0,0,0,casastr01
Nick Castellanos,PHI,NL,136,524,56,138,27,0,13,62,7,1,29,130,3,2,0,casteni01
Diego Castillo,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,castidi01
Diego Castillo,PIT,NL,96,262,28,54,13,0,11,29,1,1,14,75,3,4,1,castidi02
Harold Castro*,DET,AL,120,420,37,114,21,2,7,47,0,1,17,79,1,2,1,castrha01
Jason Castro*,HOU,AL,34,78,6,9,2,0,1,3,1,0,8,40,1,1,0,castrja01
Rodolfo Castro#,PIT,NL,71,253,25,59,8,4,11,27,5,3,22,74,2,1,0,castrro01
Willi Castro#,DET,AL,112,365,47,88,18,2,8,31,9,4,15,82,8,3,0,castrwi01
Jake Cave*,MIN,AL,54,164,17,35,7,3,5,20,2,0,11,49,0,2,0,caveja01
Gilberto Celestino,MIN,AL,122,311,30,74,12,1,2,24,4,1,32,77,2,0,0,celesgi01
Yu Chang,TOT,MLB,69,168,19,35,6,0,4,15,0,1,16,59,4,2,0,changyu01
